X,Y,Numerical Solution (in K)
0,0,100
0,0.010101,100
0,0.020202,100
0,0.030303,100
0,0.040404,100
0,0.0505051,100
0,0.0606061,100
0,0.0707071,100
0,0.0808081,100
0,0.0909091,100
0,0.10101,100
0,0.111111,100
0,0.121212,100
0,0.131313,100
0,0.141414,100
0,0.151515,100
0,0.161616,100
0,0.171717,100
0,0.181818,100
0,0.191919,100
0,0.20202,100
0,0.212121,100
0,0.222222,100
0,0.232323,100
0,0.242424,100
0,0.252525,100
0,0.262626,100
0,0.272727,100
0,0.282828,100
0,0.292929,100
0,0.30303,100
0,0.313131,100
0,0.323232,100
0,0.333333,100
0,0.343434,100
0,0.353535,100
0,0.363636,100
0,0.373737,100
0,0.383838,100
0,0.393939,100
0,0.40404,100
0,0.414141,100
0,0.424242,100
0,0.434343,100
0,0.444444,100
0,0.454545,100
0,0.464646,100
0,0.474747,100
0,0.484848,100
0,0.494949,100
0,0.505051,100
0,0.515152,100
0,0.525253,100
0,0.535354,100
0,0.545455,100
0,0.555556,100
0,0.565657,100
0,0.575758,100
0,0.585859,100
0,0.59596,100
0,0.606061,100
0,0.616162,100
0,0.626263,100
0,0.636364,100
0,0.646465,100
0,0.656566,100
0,0.666667,100
0,0.676768,100
0,0.686869,100
0,0.69697,100
0,0.707071,100
0,0.717172,100
0,0.727273,100
0,0.737374,100
0,0.747475,100
0,0.757576,100
0,0.767677,100
0,0.777778,100
0,0.787879,100
0,0.79798,100
0,0.808081,100
0,0.818182,100
0,0.828283,100
0,0.838384,100
0,0.848485,100
0,0.858586,100
0,0.868687,100
0,0.878788,100
0,0.888889,100
0,0.89899,100
0,0.909091,100
0,0.919192,100
0,0.929293,100
0,0.939394,100
0,0.949495,100
0,0.959596,100
0,0.969697,100
0,0.979798,100
0,0.989899,100
0,1,100
0.010101,0,100
0.010101,0.010101,99.9989
0.010101,0.020202,99.9978
0.010101,0.030303,99.9967
0.010101,0.040404,99.9956
0.010101,0.0505051,99.9945
0.010101,0.0606061,99.9934
0.010101,0.0707071,99.9923
0.010101,0.0808081,99.9912
0.010101,0.0909091,99.9901
0.010101,0.10101,99.9891
0.010101,0.111111,99.988
0.010101,0.121212,99.987
0.010101,0.131313,99.986
0.010101,0.141414,99.985
0.010101,0.151515,99.984
0.010101,0.161616,99.9831
0.010101,0.171717,99.9821
0.010101,0.181818,99.9812
0.010101,0.191919,99.9803
0.010101,0.20202,99.9794
0.010101,0.212121,99.9785
0.010101,0.222222,99.9777
0.010101,0.232323,99.9768
0.010101,0.242424,99.976
0.010101,0.252525,99.9753
0.010101,0.262626,99.9745
0.010101,0.272727,99.9738
0.010101,0.282828,99.9731
0.010101,0.292929,99.9724
0.010101,0.30303,99.9718
0.010101,0.313131,99.9712
0.010101,0.323232,99.9706
0.010101,0.333333,99.9701
0.010101,0.343434,99.9695
0.010101,0.353535,99.9691
0.010101,0.363636,99.9686
0.010101,0.373737,99.9682
0.010101,0.383838,99.9678
0.010101,0.393939,99.9674
0.010101,0.40404,99.9671
0.010101,0.414141,99.9668
0.010101,0.424242,99.9666
0.010101,0.434343,99.9663
0.010101,0.444444,99.9661
0.010101,0.454545,99.966
0.010101,0.464646,99.9659
0.010101,0.474747,99.9658
0.010101,0.484848,99.9657
0.010101,0.494949,99.9657
0.010101,0.505051,99.9657
0.010101,0.515152,99.9658
0.010101,0.525253,99.9659
0.010101,0.535354,99.966
0.010101,0.545455,99.9661
0.010101,0.555556,99.9663
0.010101,0.565657,99.9666
0.010101,0.575758,99.9668
0.010101,0.585859,99.9671
0.010101,0.59596,99.9674
0.010101,0.606061,99.9678
0.010101,0.616162,99.9682
0.010101,0.626263,99.9686
0.010101,0.636364,99.969
0.010101,0.646465,99.9695
0.010101,0.656566,99.97
0.010101,0.666667,99.9706
0.010101,0.676768,99.9711
0.010101,0.686869,99.9717
0.010101,0.69697,99.9724
0.010101,0.707071,99.973
0.010101,0.717172,99.9737
0.010101,0.727273,99.9744
0.010101,0.737374,99.9751
0.010101,0.747475,99.9759
0.010101,0.757576,99.9766
0.010101,0.767677,99.9774
0.010101,0.777778,99.9783
0.010101,0.787879,99.9791
0.010101,0.79798,99.98
0.010101,0.808081,99.9809
0.010101,0.818182,99.9818
0.010101,0.828283,99.9827
0.010101,0.838384,99.9836
0.010101,0.848485,99.9846
0.010101,0.858586,99.9855
0.010101,0.868687,99.9865
0.010101,0.878788,99.9875
0.010101,0.888889,99.9885
0.010101,0.89899,99.9895
0.010101,0.909091,99.9905
0.010101,0.919192,99.9916
0.010101,0.929293,99.9926
0.010101,0.939394,99.9937
0.010101,0.949495,99.9947
0.010101,0.959596,99.9958
0.010101,0.969697,99.9968
0.010101,0.979798,99.9979
0.010101,0.989899,99.9989
0.010101,1,100
0.020202,0,100
0.020202,0.010101,99.9978
0.020202,0.020202,99.9956
0.020202,0.030303,99.9933
0.020202,0.040404,99.9911
0.020202,0.0505051,99.9889
0.020202,0.0606061,99.9868
0.020202,0.0707071,99.9846
0.020202,0.0808081,99.9824
0.020202,0.0909091,99.9803
0.020202,0.10101,99.9782
0.020202,0.111111,99.9761
0.020202,0.121212,99.9741
0.020202,0.131313,99.972
0.020202,0.141414,99.97
0.020202,0.151515,99.9681
0.020202,0.161616,99.9661
0.020202,0.171717,99.9642
0.020202,0.181818,99.9624
0.020202,0.191919,99.9606
0.020202,0.20202,99.9588
0.020202,0.212121,99.9571
0.020202,0.222222,99.9554
0.020202,0.232323,99.9537
0.020202,0.242424,99.9521
0.020202,0.252525,99.9506
0.020202,0.262626,99.9491
0.020202,0.272727,99.9477
0.020202,0.282828,99.9463
0.020202,0.292929,99.9449
0.020202,0.30303,99.9437
0.020202,0.313131,99.9424
0.020202,0.323232,99.9413
0.020202,0.333333,99.9402
0.020202,0.343434,99.9392
0.020202,0.353535,99.9382
0.020202,0.363636,99.9373
0.020202,0.373737,99.9364
0.020202,0.383838,99.9357
0.020202,0.393939,99.9349
0.020202,0.40404,99.9343
0.020202,0.414141,99.9337
0.020202,0.424242,99.9332
0.020202,0.434343,99.9327
0.020202,0.444444,99.9324
0.020202,0.454545,99.9321
0.020202,0.464646,99.9318
0.020202,0.474747,99.9316
0.020202,0.484848,99.9315
0.020202,0.494949,99.9315
0.020202,0.505051,99.9315
0.020202,0.515152,99.9316
0.020202,0.525253,99.9318
0.020202,0.535354,99.9321
0.020202,0.545455,99.9324
0.020202,0.555556,99.9327
0.020202,0.565657,99.9332
0.020202,0.575758,99.9337
0.020202,0.585859,99.9343
0.020202,0.59596,99.9349
0.020202,0.606061,99.9356
0.020202,0.616162,99.9364
0.020202,0.626263,99.9372
0.020202,0.636364,99.9381
0.020202,0.646465,99.9391
0.020202,0.656566,99.9401
0.020202,0.666667,99.9412
0.020202,0.676768,99.9423
0.020202,0.686869,99.9435
0.020202,0.69697,99.9448
0.020202,0.707071,99.9461
