X,Y,Numerical Solution (in K)
0,0,100
0,0.01,100
0,0.02,100
0,0.03,100
0,0.04,100
0,0.05,100
0,0.06,100
0,0.07,100
0,0.08,100
0,0.09,100
0,0.1,100
0,0.11,100
0,0.12,100
0,0.13,100
0,0.14,100
0,0.15,100
0,0.16,100
0,0.17,100
0,0.18,100
0,0.19,100
0,0.2,100
0,0.21,100
0,0.22,100
0,0.23,100
0,0.24,100
0,0.25,100
0,0.26,100
0,0.27,100
0,0.28,100
0,0.29,100
0,0.3,100
0,0.31,100
0,0.32,100
0,0.33,100
0,0.34,100
0,0.35,100
0,0.36,100
0,0.37,100
0,0.38,100
0,0.39,100
0,0.4,100
0,0.41,100
0,0.42,100
0,0.43,100
0,0.44,100
0,0.45,100
0,0.46,100
0,0.47,100
0,0.48,100
0,0.49,100
0,0.5,100
0,0.51,100
0,0.52,100
0,0.53,100
0,0.54,100
0,0.55,100
0,0.56,100
0,0.57,100
0,0.58,100
0,0.59,100
0,0.6,100
0,0.61,100
0,0.62,100
0,0.63,100
0,0.64,100
0,0.65,100
0,0.66,100
0,0.67,100
0,0.68,100
0,0.69,100
0,0.7,100
0,0.71,100
0,0.72,100
0,0.73,100
0,0.74,100
0,0.75,100
0,0.76,100
0,0.77,100
0,0.78,100
0,0.79,100
0,0.8,100
0,0.81,100
0,0.82,100
0,0.83,100
0,0.84,100
0,0.85,100
0,0.86,100
0,0.87,100
0,0.88,100
0,0.89,100
0,0.9,100
0,0.91,100
0,0.92,100
0,0.93,100
0,0.94,100
0,0.95,100
0,0.96,100
0,0.97,100
0,0.98,100
0,0.99,100
0,1,100
0.01,0,100
0.01,0.01,99.9998
0.01,0.02,99.9995
0.01,0.03,99.9993
0.01,0.04,99.9991
0.01,0.05,99.9989
0.01,0.06,99.9987
0.01,0.07,99.9984
0.01,0.08,99.9982
0.01,0.09,99.998
0.01,0.1,99.9978
0.01,0.11,99.9976
0.01,0.12,99.9974
0.01,0.13,99.9972
0.01,0.14,99.997
0.01,0.15,99.9968
0.01,0.16,99.9966
0.01,0.17,99.9965
0.01,0.18,99.9963
0.01,0.19,99.9961
0.01,0.2,99.996
0.01,0.21,99.9958
0.01,0.22,99.9956
0.01,0.23,99.9955
0.01,0.24,99.9953
0.01,0.25,99.9952
0.01,0.26,99.9951
0.01,0.27,99.9949
0.01,0.28,99.9948
0.01,0.29,99.9947
0.01,0.3,99.9946
0.01,0.31,99.9945
0.01,0.32,99.9944
0.01,0.33,99.9943
0.01,0.34,99.9942
0.01,0.35,99.9941
0.01,0.36,99.994
0.01,0.37,99.994
0.01,0.38,99.9939
0.01,0.39,99.9939
0.01,0.4,99.9938
0.01,0.41,99.9938
0.01,0.42,99.9937
0.01,0.43,99.9937
0.01,0.44,99.9937
0.01,0.45,99.9937
0.01,0.46,99.9937
0.01,0.47,99.9937
0.01,0.48,99.9937
0.01,0.49,99.9937
0.01,0.5,99.9937
0.01,0.51,99.9937
0.01,0.52,99.9937
0.01,0.53,99.9938
0.01,0.54,99.9938
0.01,0.55,99.9938
0.01,0.56,99.9939
0.01,0.57,99.994
0.01,0.58,99.994
0.01,0.59,99.9941
0.01,0.6,99.9942
0.01,0.61,99.9942
0.01,0.62,99.9943
0.01,0.63,99.9944
0.01,0.64,99.9945
0.01,0.65,99.9946
0.01,0.66,99.9947
0.01,0.67,99.9948
0.01,0.68,99.9949
0.01,0.69,99.9951
0.01,0.7,99.9952
0.01,0.71,99.9953
0.01,0.72,99.9954
0.01,0.73,99.9956
0.01,0.74,99.9957
0.01,0.75,99.9959
0.01,0.76,99.996
0.01,0.77,99.9961
0.01,0.78,99.9963
0.01,0.79,99.9965
0.01,0.8,99.9966
0.01,0.81,99.9968
0.01,0.82,99.9969
0.01,0.83,99.9971
0.01,0.84,99.9973
0.01,0.85,99.9974
0.01,0.86,99.9976
0.01,0.87,99.9978
0.01,0.88,99.9979
0.01,0.89,99.9981
0.01,0.9,99.9983
0.01,0.91,99.9984
0.01,0.92,99.9986
0.01,0.93,99.9988
0.01,0.94,99.999
0.01,0.95,99.9991
0.01,0.96,99.9993
0.01,0.97,99.9995
0.01,0.98,99.9997
0.01,0.99,99.9998
0.01,1,100
0.02,0,100
0.02,0.01,99.9995
0.02,0.02,99.9991
0.02,0.03,99.9986
0.02,0.04,99.9982
0.02,0.05,99.9978
0.02,0.06,99.9973
0.02,0.07,99.9969
0.02,0.08,99.9965
0.02,0.09,99.9961
0.02,0.1,99.9956
0.02,0.11,99.9952
0.02,0.12,99.9948
0.02,0.13,99.9944
0.02,0.14,99.9941
0.02,0.15,99.9937
0.02,0.16,99.9933
0.02,0.17,99.993
0.02,0.18,99.9926
0.02,0.19,99.9923
0.02,0.2,99.9919
0.02,0.21,99.9916
0.02,0.22,99.9913
0.02,0.23,99.991
0.02,0.24,99.9907
0.02,0.25,99.9904
0.02,0.26,99.9902
0.02,0.27,99.9899
0.02,0.28,99.9897
0.02,0.29,99.9894
0.02,0.3,99.9892
0.02,0.31,99.989
0.02,0.32,99.9888
0.02,0.33,99.9886
0.02,0.34,99.9884
0.02,0.35,99.9883
0.02,0.36,99.9881
0.02,0.37,99.988
0.02,0.38,99.9879
0.02,0.39,99.9878
0.02,0.4,99.9877
0.02,0.41,99.9876
0.02,0.42,99.9875
0.02,0.43,99.9875
0.02,0.44,99.9874
0.02,0.45,99.9874
0.02,0.46,99.9874
0.02,0.47,99.9873
0.02,0.48,99.9874
0.02,0.49,99.9874
0.02,0.5,99.9874
0.02,0.51,99.9874
0.02,0.52,99.9875
0.02,0.53,99.9876
0.02,0.54,99.9876
0.02,0.55,99.9877
0.02,0.56,99.9878
0.02,0.57,99.988
0.02,0.58,99.9881
0.02,0.59,99.9882
0.02,0.6,99.9884
0.02,0.61,99.9885
0.02,0.62,99.9887
0.02,0.63,99.9889
0.02,0.64,99.9891
0.02,0.65,99.9893
0.02,0.66,99.9895
0.02,0.67,99.9897
0.02,0.68,99.9899
0.02,0.69,99.9902
0.02,0.7,99.9904
0.02,0.71,99.9907
0.02,0.72,99.9909
0.02,0.73,99.9912
0.02,0.74,99.9915
0.02,0.75,99.9917
0.02,0.76,99.992
0.02,0.77,99.9923
0.02,0.78,99.9926
0.02,0.79,99.9929
0.02,0.8,99.9932
0.02,0.81,99.9936
0.02,0.82,99.9939
0.02,0.83,99.9942
0.02,0.84,99.9945
0.02,0.85,99.9949
0.02,0.86,99.9952
0.02,0.87,99.9955
0.02,0.88,99.9959
0.02,0.89,99.9962
0.02,0.9,99.9966
0.02,0.91,99.9969
0.02,0.92,99.9973
0.02,0.93,99.9976
0.02,0.94,99.9979
